"","avg_NDVI_MFC2","AAC10m","Aspect10m","DEM10m","FlowAcc10m","PlanCurv10m","ProfileCurv10m","Slope10m","TRI10m","TWI10m"
"avg_NDVI_MFC2",1,0.0700730756729129,-0.149335862149939,0.0495168433042641,-0.0587494900981105,0.013542571961571,0.00547314965068562,-0.00429138572877753,-0.00843690478226897,-0.0960814472498045
"AAC10m",0.0700730756729129,1,-0.137330329429915,-0.00407681114929445,-0.309765063555409,0.295671298364408,0.219388547296597,-0.492807817950738,-0.51952519450904,-0.466611874861878
"Aspect10m",-0.149335862149939,-0.137330329429915,1,-0.131060067224116,0.00492363991809398,-0.0465101058405804,-0.0170953037140948,0.184666997210817,0.187482355821439,-0.0706371966523924
"DEM10m",0.0495168433042641,-0.00407681114929445,-0.131060067224116,1,-0.0894772650020583,0.0781989905573918,0.125333223172296,0.124635376689089,0.103655137635351,0.115652873212344
"FlowAcc10m",-0.0587494900981105,-0.309765063555409,0.00492363991809398,-0.0894772650020583,1,-0.259178928163658,-0.078270989413322,-0.0468307229330015,-0.0303894018684389,0.703467197831506
"PlanCurv10m",0.013542571961571,0.295671298364408,-0.0465101058405804,0.0781989905573918,-0.259178928163658,1,0.274422737333495,-0.135439341198619,-0.166964306056252,-0.36426679520707
"ProfileCurv10m",0.00547314965068562,0.219388547296597,-0.0170953037140948,0.125333223172296,-0.078270989413322,0.274422737333495,1,0.00532108691230858,-0.117480698864873,-0.0887257469189207
"Slope10m",-0.00429138572877753,-0.492807817950738,0.184666997210817,0.124635376689089,-0.0468307229330015,-0.135439341198619,0.00532108691230858,1,0.990706718249819,-0.179964997172214
"TRI10m",-0.00843690478226897,-0.51952519450904,0.187482355821439,0.103655137635351,-0.0303894018684389,-0.166964306056252,-0.117480698864873,0.990706718249819,1,-0.170041975755796
"TWI10m",-0.0960814472498045,-0.466611874861878,-0.0706371966523924,0.115652873212344,0.703467197831506,-0.36426679520707,-0.0887257469189207,-0.179964997172214,-0.170041975755796,1
